Symbol,DATE,CLOSE,Sector
TECHM,2019-08-14,659.1,it
ULTRACEMCO,2019-08-14,4225.9,chemical
UPL,2019-08-14,527.2,chemical
M&M,2019-08-14,523.55,auto
HCLTECH,2019-08-14,538.07,it
NESTLEIND,2019-08-14,12036.55,food
WIPRO,2019-08-14,251.05,it
BAJAJ-AUTO,2019-08-14,2713.9,auto
BRITANNIA,2019-08-14,2478.9,food
JSWSTEEL,2019-08-14,227.75,iron_steel
GRASIM,2019-08-14,734.5,other
GAIL,2019-08-14,126.75,oil_refineries
HEROMOTOCO,2019-08-14,2634.15,auto
HINDALCO,2019-08-14,180.6,iron_steel
INFRATEL,2019-08-14,248.85,telecommunications
CIPLA,2019-08-14,478.3,pharmaceuticals
ADANIPORTS,2019-08-14,358.85,infra
RELIANCE,2019-08-13,1274.75,oil_refineries
SBIN,2019-08-13,283.35,banks
ICICIBANK,2019-08-13,410.25,banks
HDFCBANK,2019-08-13,1110.17,banks
BPCL,2019-08-13,343.1,oil_refineries
YESBANK,2019-08-13,73.6,banks
BAJFINANCE,2019-08-13,7089.15,finance
INDUSINDBK,2019-08-13,1373.45,banks
HDFC,2019-08-13,2100.1,finance
TCS,2019-08-13,2199.45,it
AXISBANK,2019-08-13,649.45,banks
LT,2019-08-13,1313.25,infra
TATAMOTORS,2019-08-13,121.95,auto
KOTAKBANK,2019-08-13,1511.4,banks
BHARTIARTL,2019-08-13,351.65,telecommunications
INFY,2019-08-13,764.75,it
POWERGRID,2019-08-13,202.0,power
MARUTI,2019-08-13,5815.45,auto
ONGC,2019-08-13,127.75,oil_refineries
TATASTEEL,2019-08-13,348.7,iron_steel
ASIANPAINT,2019-08-13,1573.35,chemical
HINDUNILVR,2019-08-13,1824.75,personal_care
SUNPHARMA,2019-08-13,439.25,pharmaceuticals
NTPC,2019-08-13,117.15,power
ZEEL,2019-08-13,327.3,media_entmt
COALINDIA,2019-08-13,203.75,mining
ITC,2019-08-13,246.3,other
VEDL,2019-08-13,139.75,mining
EICHERMOT,2019-08-13,16645.0,auto
IOC,2019-08-13,125.9,oil_refineries
DRREDDY,2019-08-13,2556.35,pharmaceuticals
